Date,Open,High,Low,Close,Volume
2023-01-02,100.0,100.93,99.36,100.0,51953
2023-01-03,98.63,101.45,98.63,101.04,72777
2023-01-04,100.2,101.54,99.93,100.81,69091
2023-01-05,100.61,102.39,100.61,102.17,100721
2023-01-06,101.88,106.53,101.88,105.33,90270
2023-01-09,106.62,106.62,103.95,104.89,101565
2023-01-10,104.58,105.33,103.97,104.45,31100
2023-01-11,105.28,108.79,105.28,107.81,88776
2023-01-12,107.57,110.14,107.57,109.51,78541
2023-01-13,109.71,111.41,105.93,108.54,105288
2023-01-16,107.99,112.26,107.37,109.77,97593
2023-01-17,109.78,111.02,106.88,108.81,76159
2023-01-18,109.23,109.23,107.09,107.85,73776
2023-01-19,107.64,109.81,107.14,108.43,70696
2023-01-20,108.56,108.56,103.98,104.33,44430
2023-01-23,104.54,104.54,99.09,100.79,99668
2023-01-24,100.29,100.37,99.36,99.7,43332
2023-01-25,100.19,100.19,96.45,97.73,72037
2023-01-26,97.12,99.25,97.12,98.4,74074
2023-01-27,97.25,97.98,95.72,96.66,75111
2023-01-30,96.72,96.72,91.27,93.98,118121
2023-01-31,94.25,98.95,94.25,96.78,42934
2023-02-01,97.43,98.41,94.22,96.39,112971
2023-02-02,96.77,96.77,96.01,96.57,88710
2023-02-03,97.1,97.1,93.62,93.86,29269
2023-02-06,93.59,93.89,91.74,92.89,60738
2023-02-07,92.92,94.07,92.21,93.14,86923
2023-02-08,93.02,93.02,89.61,91.04,43973
2023-02-09,91.02,94.67,89.13,91.77,87029
2023-02-10,92.01,92.08,89.73,90.72,61802
2023-02-13,90.74,92.59,87.57,90.23,51227
2023-02-14,90.3,90.3,89.07,89.19,61098
2023-02-15,89.24,93.56,89.24,92.54,68914
2023-02-16,91.97,94.75,90.57,92.56,46676
2023-02-17,92.2,92.22,89.19,90.65,30690
2023-02-20,90.3,92.94,90.3,92.19,43669
2023-02-21,91.67,91.67,89.29,89.98,91127
2023-02-22,89.51,90.96,89.51,90.4,45401
2023-02-23,90.6,90.6,86.12,86.91,80446
2023-02-24,86.5,86.5,84.08,84.64,33477
2023-02-27,84.11,85.47,84.11,85.02,89123
2023-02-28,84.67,87.55,84.67,86.31,50704
2023-03-01,87.07,88.0,85.35,86.65,53113
2023-03-02,86.64,87.68,85.47,86.5,29278
2023-03-03,85.76,86.56,85.64,86.02,36542
2023-03-06,86.06,86.06,82.43,83.52,105628
2023-03-07,83.11,83.11,81.97,82.36,75302
2023-03-08,82.57,82.57,81.2,81.64,96841
2023-03-09,82.04,83.87,82.04,83.41,39129
2023-03-10,83.74,84.32,83.67,84.02,28973
2023-03-13,83.72,83.72,80.44,81.1,45647
2023-03-14,80.78,83.06,80.13,81.67,54490
2023-03-15,82.74,82.74,79.93,81.08,87532
2023-03-16,80.46,80.53,79.34,80.02,74001
2023-03-17,79.74,82.02,79.74,81.04,88763
2023-03-20,81.02,84.57,81.02,82.75,103503
2023-03-21,83.15,84.98,83.15,84.33,55366
2023-03-22,84.24,84.28,81.5,82.96,90460
2023-03-23,83.41,83.41,81.68,82.49,46172
2023-03-24,82.47,84.76,81.42,83.08,32224
2023-03-27,83.16,85.18,83.16,84.74,97685
2023-03-28,84.65,84.75,83.2,83.97,63271
2023-03-29,83.98,83.98,83.33,83.7,27854
2023-03-30,83.91,83.91,80.71,81.89,88072
2023-03-31,81.52,81.52,78.84,79.97,73682
2023-04-03,80.39,82.1,80.39,81.31,75821
2023-04-04,81.75,84.02,81.75,83.56,100666
2023-04-05,83.27,84.67,82.26,83.48,80877
2023-04-06,84.09,85.76,84.09,85.2,44819
2023-04-07,84.85,86.24,84.85,85.86,43797
2023-04-10,85.96,85.96,84.47,84.79,41512
2023-04-11,84.44,85.96,84.44,85.45,61050
2023-04-12,85.61,89.54,85.61,88.12,106449
2023-04-13,88.83,89.35,86.97,88.1,42702
2023-04-14,87.85,91.82,87.85,90.9,31166
2023-04-17,90.37,90.37,85.56,86.18,37906
2023-04-18,86.45,88.22,86.45,87.64,73306
2023-04-19,87.71,88.96,86.98,87.84,37629
2023-04-20,87.98,87.98,86.87,87.36,32425
2023-04-21,86.81,89.21,85.71,87.56,73065
2023-04-24,87.66,87.66,83.48,84.12,64203
2023-04-25,84.27,84.95,82.5,83.8,75559
2023-04-26,83.65,85.27,83.65,84.44,93978
2023-04-27,84.74,87.69,84.74,86.97,79093
2023-04-28,87.26,87.37,84.55,86.12,102881
2023-05-01,85.76,85.76,84.38,84.77,89545
2023-05-02,85.31,85.31,83.81,83.96,71474
2023-05-03,84.0,85.67,84.0,85.54,65660
2023-05-04,85.63,86.74,85.63,86.14,100216
2023-05-05,85.52,86.7,84.2,85.27,106812
2023-05-08,85.36,86.71,85.36,86.19,31392
2023-05-09,86.61,88.23,84.82,86.4,106721
2023-05-10,86.56,88.95,86.56,88.12,28149
2023-05-11,87.22,87.37,86.51,86.93,59208
2023-05-12,85.97,87.72,84.81,86.4,88179
2023-05-15,86.97,86.97,84.4,85.77,40404
2023-05-16,85.72,85.72,82.49,83.3,58383
2023-05-17,83.21,84.68,82.99,83.83,29789
2023-05-18,84.44,85.73,83.06,84.31,109831
2023-05-19,84.22,84.92,83.81,84.36,90741
2023-05-22,84.92,84.92,83.46,84.01,100109
2023-05-23,84.22,84.22,80.61,81.67,38684
2023-05-24,82.41,82.41,80.28,81.03,31832
2023-05-25,81.26,82.11,79.11,80.51,68553
2023-05-26,79.54,79.86,78.79,79.26,80611
2023-05-29,79.45,79.45,78.56,79.04,34092
2023-05-30,78.59,79.97,78.59,79.72,66997
2023-05-31,79.74,83.64,79.74,82.77,33600
2023-06-01,82.65,84.17,81.98,83.1,93562
2023-06-02,82.92,84.03,82.89,83.57,81833
2023-06-05,83.3,83.83,83.07,83.49,79024
2023-06-06,83.94,83.94,79.83,80.33,97448
2023-06-07,80.4,81.56,79.01,80.32,72974
2023-06-08,80.41,80.78,80.06,80.46,38331
2023-06-09,80.63,85.15,80.63,84.46,39897
2023-06-12,84.94,84.94,83.43,84.18,83824
2023-06-13,84.23,84.85,84.23,84.73,30530
2023-06-14,84.68,85.95,83.48,84.71,63121
2023-06-15,84.09,84.2,81.75,82.78,101062
2023-06-16,83.61,86.34,83.18,84.71,104642
2023-06-19,85.08,86.29,85.08,86.03,95040
2023-06-20,85.49,88.17,85.49,87.43,36725
2023-06-21,87.54,87.54,85.36,85.88,102688
2023-06-22,85.76,88.84,85.76,88.34,93230
2023-06-23,87.08,87.08,84.99,85.9,40139
2023-06-26,85.87,87.39,85.87,86.96,51237
2023-06-27,87.11,91.67,87.11,90.81,44701
2023-06-28,90.92,91.29,87.0,89.05,52799
2023-06-29,89.43,89.49,86.69,88.09,31915
2023-06-30,88.63,89.27,87.19,88.31,92661
2023-07-03,88.42,88.46,86.51,87.46,49891
2023-07-04,87.16,87.16,84.74,84.8,34323
2023-07-05,84.76,85.71,84.12,84.95,30177
2023-07-06,85.15,85.15,82.89,83.19,64556
2023-07-07,83.13,85.84,82.25,84.02,58138
2023-07-10,84.29,84.29,81.34,82.52,35049
2023-07-11,83.31,86.02,83.31,85.12,81746
2023-07-12,85.97,85.97,83.44,83.83,68005
2023-07-13,84.32,84.34,82.13,83.33,60569
2023-07-14,83.45,85.66,83.45,84.73,30823
2023-07-17,84.87,84.87,82.31,82.68,67959
2023-07-18,82.83,83.74,82.5,83.1,79306
2023-07-19,83.39,86.16,83.39,85.31,91495
2023-07-20,84.88,84.88,82.38,82.61,53117
2023-07-21,82.26,84.44,81.45,82.96,49642
2023-07-24,82.71,84.54,82.1,83.43,84829
2023-07-25,84.37,85.52,83.83,84.78,68330
2023-07-26,84.77,84.77,82.19,82.73,57406
2023-07-27,83.73,83.73,79.45,80.58,94765
2023-07-28,80.74,82.05,80.74,81.46,97485
2023-07-31,81.35,82.81,81.26,81.99,49861
2023-08-01,81.73,83.46,81.51,82.44,77646
2023-08-02,82.83,84.05,82.18,83.05,42404
2023-08-03,83.28,83.28,80.88,81.96,36215
2023-08-04,82.14,84.09,80.87,82.39,99061
2023-08-07,82.41,83.65,82.04,82.91,74180
2023-08-08,82.93,82.93,81.64,81.77,71169
2023-08-09,81.64,86.22,81.64,84.86,47680
